model_name,accuracy,timestamp
50epochs-convnet-sudoku-only,95.67901234567901,2025-06-09 10:47:49
150epochs-convnet-sudoku-very-long-small-batch,95.5246913580247,2025-06-09 10:47:47
140epochs-convnet-sudoku-higher-lr-longer,95.37037037037037,2025-06-09 10:47:53
120epochs-convnet-sudoku-extend-best-longer,94.75308641975309,2025-06-09 10:47:45
100epochs-convnet-sudoku-larger-batch-lower-lr,94.75308641975309,2025-06-09 10:47:46
50epochs-convnet-mnist-to-sudoku-finetune-long-finetune,94.44444444444444,2025-06-09 10:47:50
80epochs-convnet-sudoku-smaller-batch,94.1358024691358,2025-06-09 10:47:51
30epochs-convnet-mnist-to-sudoku-finetuned,94.1358024691358,2025-06-09 10:47:48
40epochs-convnet-mnist-to-sudoku-finetuned,94.1358024691358,2025-06-09 10:47:46
100epochs-convnet-sudoku-extend-best-lower-lr,93.98148148148148,2025-06-09 10:47:49
40epochs-convnet-sudoku-baseline,93.67283950617283,2025-06-09 10:47:52
30epochs-convnet-very-long-very-low-lr-to-sudoku-lower-lr-longer,93.67283950617283,2025-06-09 10:47:53
60epochs-convnet-sudoku-lower-lr,93.67283950617283,2025-06-09 10:47:49
30epochs-convnet-old-model-to-sudoku-lower-lr-longer,93.67283950617283,2025-06-09 10:47:48
20epochs-convnet-very-long-very-low-lr-to-sudoku-baseline-finetune,93.3641975308642,2025-06-09 10:47:52
25epochs-convnet-mnist-to-sudoku-finetune-medium-lr-big-batch,93.20987654320987,2025-06-09 10:47:47
30epochs-convnet-higher-lr-small-batch-to-sudoku-lower-lr-longer,93.05555555555556,2025-06-09 10:47:52
30epochs-convnet-big-batch-low-lr-to-sudoku-lower-lr-longer,93.05555555555556,2025-06-09 10:47:48
40epochs-convnet-very-long-very-low-lr-to-sudoku-very-low-lr,92.74691358024691,2025-06-09 10:47:45
20epochs-convnet-higher-lr-small-batch-to-sudoku-baseline-finetune,92.74691358024691,2025-06-09 10:47:50
15epochs-convnet-mnist-to-sudoku-finetune-higher-lr-small-batch,92.5925925925926,2025-06-09 10:47:48
20epochs-convnet-big-batch-low-lr-to-sudoku-baseline-finetune,92.43827160493827,2025-06-09 10:47:45
20epochs-convnet-mnist-to-sudoku-finetune-baseline-finetune,92.43827160493827,2025-06-09 10:47:46
20epochs-convnet-old-8epochs-to-sudoku-baseline-finetune,92.28395061728395,2025-06-09 10:47:48
20epochs-convnet-old-model-to-sudoku-baseline-finetune,92.28395061728395,2025-06-09 10:47:48
30epochs-convnet-old-8epochs-to-sudoku-lower-lr-longer,92.12962962962963,2025-06-09 10:47:48
30epochs-convnet-mnist-to-sudoku-finetune-lower-lr-longer,91.9753086419753,2025-06-09 10:47:45
40epochs-convnet-old-model-to-sudoku-very-low-lr,90.89506172839506,2025-06-09 10:47:50
40epochs-convnet-big-batch-low-lr-to-sudoku-very-low-lr,90.89506172839506,2025-06-09 10:47:50
40epochs-convnet-mnist-to-sudoku-finetune-very-low-lr,90.12345679012346,2025-06-09 10:47:44
40epochs-convnet-old-8epochs-to-sudoku-very-low-lr,90.12345679012346,2025-06-09 10:47:46
40epochs-convnet-higher-lr-small-batch-to-sudoku-very-low-lr,89.81481481481481,2025-06-09 10:47:44
45epochs-convnet-sudoku-baseline,89.04320987654322,2025-06-09 10:47:47
model-mnist-sudoku,64.50617283950618,2025-06-09 10:47:50
20epochs-convnet-mnist-very-long-very-low-lr,52.160493827160494,2025-06-09 10:47:48
model-sudoku-only,50.46296296296296,2025-06-09 10:47:49
model-sudoku-mnist,48.611111111111114,2025-06-09 10:47:53
15epochs-convnet-mnist-big-batch-low-lr,39.19753086419753,2025-06-09 10:47:47
10epochs-convnet-mnist-higher-lr-small-batch,35.18518518518518,2025-06-09 10:47:47
8epochs-convnet-mnist-baseline-mnist,27.623456790123456,2025-06-09 10:47:47
12epochs-convnet-mnist-longer-lower-lr,15.432098765432098,2025-06-09 10:47:47
6epochs-convnet-mnist-fast-high-lr,14.197530864197532,2025-06-09 10:47:47
model-mnist-only,12.808641975308642,2025-06-09 10:47:46
